No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
2,2,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,49.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,76000000,Full
2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,55000000,Full
2,2,Fatmawati,Jakarta Selatan,106.795392,-6.303504,1,54.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,108000000,Full
2,1,Sudirman,Jakarta Pusat,106.818029,-6.205971,1,48.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,84000000,Full
0,1,Karawaci,Tangerang,106.607673,-6.228493,1,35.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,50000000,Full
3,2,Senayan,Jakarta Selatan,106.794123,-6.222613,1,155.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,390600000,Full
3,3,Sudirman,Jakarta Pusat,106.818351,-6.208956,0,200.0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,18,480000000,Semi
2,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,1,73.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,87000000,Full
0,1,Karawaci,Tangerang,106.607673,-6.228493,1,31.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,50000000,Full
1,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,35.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,45000000,Full
0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,26.0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15,30000000,Non
1,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,1,49.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,68250000,Full
0,1,Cinere,Depok,106.78239,-6.317404,1,22.0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,15,36000000,Full
0,1,Semanggi,Jakarta Selatan,106.819159,-6.226598,1,30.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,66000000,Full
0,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,30.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,40000000,Full
2,1,Ancol,Jakarta Utara,106.82921,-6.128082,1,50.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,20,45000000,Full
2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33.0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,20,57000000,Full
3,2,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,100.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,14,90000000,Full
0,1,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,21.0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,17,50000000,Full
0,1,Mangga Besar,Jakarta Pusat,106.834047,-6.149718,1,25.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,19,50000000,Full
